Time,PWM,ADC,Error
0,2,322,178
1,4,318,182
2,6,314,186
3,8,305,195
4,10,300,200
5,12,300,200
6,14,285,215
7,16,284,216
8,18,277,223
9,20,280,220
10,22,267,233
11,24,263,237
12,26,263,237
13,28,249,251
14,30,243,257
15,32,242,258
16,34,231,269
17,36,224,276
18,38,227,273
19,40,215,285
20,42,208,292
21,44,208,292
22,46,196,304
23,48,195,305
24,50,184,316
25,52,182,318
26,54,179,321
27,56,172,328
28,58,164,336
29,60,160,340
30,62,158,342
31,64,149,351
32,66,142,358
33,68,143,357
34,70,132,368
35,72,124,376
36,74,123,377
37,76,118,382
38,78,104,396
39,80,106,394
